id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,testStation,lastCommunicationTime
364,Lafayette Ave & Classon Ave,17,27,40.68900443,-73.96023854,In Service,1,9,Lafayette Ave & Classon Ave,False,2016-01-22 16:29:43
365,Fulton St & Grand Ave,20,31,40.68223166,-73.9614583,In Service,1,11,Fulton St & Grand Ave,False,2016-01-22 16:32:04
366,Clinton Ave & Myrtle Ave,21,33,40.693261,-73.968896,In Service,1,11,Clinton Ave & Myrtle Ave,False,2016-01-22 16:30:04
367,E 53 St & Lexington Ave,11,34,40.75828065,-73.97069431,In Service,1,22,E 53 St & Lexington Ave,False,2016-01-22 16:31:29
368,Carmine St & 6 Ave,13,39,40.73038599,-74.00214988,In Service,1,26,Carmine St & 6 Ave,False,2016-01-22 16:28:52
369,Washington Pl & 6 Ave,34,35,40.73224119,-74.00026394,In Service,1,1,Washington Pl & 6 Ave,False,2016-01-22 16:30:35
372,Franklin Ave & Myrtle Ave,14,27,40.694528,-73.958089,In Service,1,13,Franklin Ave & Myrtle Ave,False,2016-01-22 16:30:56
373,Willoughby Ave & Walworth St,3,19,40.69331716,-73.95381995,In Service,1,16,Willoughby Ave & Walworth St,False,2016-01-22 16:30:38
375,Mercer St & Bleecker St,17,30,40.72679454,-73.99695094,In Service,1,12,Mercer St & Bleecker St,False,2016-01-22 16:29:43
376,John St & William St,10,43,40.70862144,-74.00722156,In Service,1,32,John St & William St,False,2016-01-22 16:29:16
377,6 Ave & Canal St,5,47,40.72243797,-74.00566443,In Service,1,42,6 Ave & Canal St,False,2016-01-22 16:31:38
379,W 31 St & 7 Ave,0,42,40.749156,-73.9916,In Service,1,39,W 31 St & 7 Ave,False,2016-01-22 16:30:16
380,W 4 St & 7 Ave S,6,39,40.73401143,-74.00293877,In Service,1,33,W 4 St & 7 Ave S,False,2016-01-22 16:30:37
382,University Pl & E 14 St,0,36,40.73492695,-73.99200509,In Service,1,35,University Pl & E 14 St,False,2016-01-22 16:31:27
383,Greenwich Ave & Charles St,18,39,40.735238,-74.000271,In Service,1,20,Greenwich Ave & Charles St,False,2016-01-22 16:31:42
384,Fulton St & Washington Ave,20,31,40.683048,-73.964915,In Service,1,11,Fulton St & Washington Ave,False,2016-01-22 16:29:06
